datetime,circuit_id,process_time_ms,caminput,grayfilter,shape01,pos01,label01,switch01,shape02,pos02,switch02,resultdisplay,status
3/17/2026 17:02,1,61.69,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,2,58.5,1,1,1,1,0,1,1,1,1,1,0
3/17/2026 17:02,3,59.75,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,4,61.99,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,5,59.86,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,6,60.75,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,7,60.84,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,8,61.33,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,9,60.19,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,10,60.85,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,11,59.56,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,12,59.51,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:02,13,60.94,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,14,61.43,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,15,59.35,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,16,61.99,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,17,59.67,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,18,59.74,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,19,61.27,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,20,60.81,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,21,59.64,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,22,61.81,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,23,59.76,1,1,1,1,1,1,1,1,1,1,1
3/17/2026 17:03,24,61.09,1,1,1,1,1,1,1,1,1,1,1
